RegionID,RegionName,SizeRank,1996-04,1996-05,1996-06,1996-07,1996-08,1996-09,1996-10,1996-11,1996-12,1997-01,1997-02,1997-03,1997-04,1997-05,1997-06,1997-07,1997-08,1997-09,1997-10,1997-11,1997-12,1998-01,1998-02,1998-03,1998-04,1998-05,1998-06,1998-07,1998-08,1998-09,1998-10,1998-11,1998-12,1999-01,1999-02,1999-03,1999-04,1999-05,1999-06,1999-07,1999-08,1999-09,1999-10,1999-11,1999-12,2000-01,2000-02,2000-03,2000-04,2000-05,2000-06,2000-07,2000-08,2000-09,2000-10,2000-11,2000-12,2001-01,2001-02,2001-03,2001-04,2001-05,2001-06,2001-07,2001-08,2001-09,2001-10,2001-11,2001-12,2002-01,2002-02,2002-03,2002-04,2002-05,2002-06,2002-07,2002-08,2002-09,2002-10,2002-11,2002-12,2003-01,2003-02,2003-03,2003-04,2003-05,2003-06,2003-07,2003-08,2003-09,2003-10,2003-11,2003-12,2004-01,2004-02,2004-03,2004-04,2004-05,2004-06,2004-07,2004-08,2004-09,2004-10,2004-11,2004-12,2005-01,2005-02,2005-03,2005-04,2005-05,2005-06,2005-07,2005-08,2005-09,2005-10,2005-11,2005-12,2006-01,2006-02,2006-03,2006-04,2006-05,2006-06,2006-07,2006-08,2006-09,2006-10,2006-11,2006-12,2007-01,2007-02,2007-03,2007-04,2007-05,2007-06,2007-07,2007-08,2007-09,2007-10,2007-11,2007-12,2008-01,2008-02,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
9,California,1,275300,275200,275100,275100,275200,275600,276100,276700,277500,278500,279400,280100,281200,282800,284700,286900,289300,291800,294600,297500,300700,304300,307700,310700,313900,317300,320600,324100,327400,330700,333900,337200,340700,344300,347600,350700,353700,356800,360000,363300,366700,370500,374700,379400,384900,390900,396900,402700,408700,414800,420900,427100,433300,439400,445600,451900,458500,464900,470900,476300,481200,485200,488500,491200,493300,495000,496500,497800,499300,501000,503100,505700,508900,512900,517600,522800,528200,533800,539600,545300,550700,555900,560700,565300,570000,574800,579900,585700,592000,599100,606900,615200,624500,634500,645600,657700,670800,684300,697800,710800,722800,733700,743800,753100,762100,770800,779100,787200,795100,802200,808900,815100,820500,825500,829800,833200,835800,837800,839200,840000,840100,839300,837700,835000,831300,827500,823800,820400,817500,815000,811900,808100,803700,798800,793700,788100,781600,775000,767900,760400,752400,744100,735000,725400,715500,706300,698200,691500,686000,681600,677700,674100,671100,668500,664900,660100,654300,648200,643300,641100,641200,642500,644400,646600,648300,650100,651300,650900,651100,652200,651200,647800,644700,641000,637100,632900,628100,622900,618700,615400,611900,608200,605600,604100,602100,599100,596800,596100,595900,595100,596000,599400,603900,609100,615100,621200,627200,634100,641500,649000,656500,663700,672000,683300,696400,709200,720700,730100,737100,742500,746600,750100,753600,757700,761700,765400,768600,771700,774400,777500,780400,783300,787000,791300,796200,801500,807600,814200,820800,826800,833100,839500,845800,852000,857000,861600,866800,872300,876500,880400,883800,886300,888300,891500,895100,899200,903600,909000,914700,920000,924200,928200,932400,936700,941100,945900,951700,958900,966700,975300,983600,995500,1010700,1022400,1029900,1038200,1045900,1050700,1054800,1059400,1063700,1065000,1066000
54,Texas,2,187100,187300,187800,188500,189100,189500,189400,188900,188100,187200,186400,185900,185900,186200,187000,188000,189000,190000,190900,191900,193000,194200,195300,196200,196800,197100,197300,197500,197700,197800,198100,198500,199300,200400,201600,202700,203700,204600,205700,207100,209200,212000,215800,220500,225500,230200,233900,236300,237000,235400,231700,226600,221400,217200,214000,211800,210300,209300,208600,208200,207900,207900,208000,208200,208300,208300,208000,207400,206700,205900,205000,204400,204100,204300,204900,205800,206500,206900,207000,206800,206300,205700,205300,204900,204700,204600,204800,205000,205200,205200,205100,205100,205300,206000,207100,208500,210100,211700,213100,214600,216000,217300,218500,219400,220200,220700,221100,221700,222400,223200,224100,225000,225800,226700,227500,228300,229100,229900,230700,231500,232400,233300,234400,235400,236300,237400,238400,239500,240600,241600,242600,243500,244600,245800,247200,248800,250200,251600,252800,253800,254300,254200,253600,252600,251400,250200,249100,248200,247700,247300,246900,246500,246200,246000,245800,245600,245200,244800,244400,244200,244200,244100,244200,244400,244300,244200,244500,244800,244800,244700,244400,244000,243500,243100,242600,242200,241900,241600,241300,241000,240900,241100,241300,241200,240900,240600,240400,240400,240500,240700,241100,241500,242100,242500,242900,243500,244300,244800,245200,245800,246600,247400,248200,249100,250000,251100,252600,253900,255300,256700,258000,259000,260100,261100,261800,262900,264300,265600,267000,268800,270600,272300,274000,275800,277700,279600,281300,282900,284900,287000,289000,290800,292400,293800,295000,296300,297700,299100,300400,301800,303600,305400,307100,308600,310000,311200,312500,313700,314800,315800,317000,318300,319700,320900,322000,323000,324100,325000,326100,327200,328000,329900,333700,337200,339300,341000,342300,343100,343900,345200,346900,348900,350600
43,New York,3,215000,214600,214200,213700,213300,213000,212800,212800,213100,213600,214100,214400,214800,215200,215700,216300,216900,217700,218500,219400,220600,222000,223200,224200,225200,226400,227700,229000,230500,232000,233600,235300,237100,239000,240900,242900,245100,247600,250200,253000,255800,258400,261100,263800,266700,270000,273200,276400,279700,282900,286000,288900,291700,294700,297700,300800,304200,307700,311200,314700,318200,321800,325200,328600,332000,335400,338800,342100,345300,348100,350800,353300,355900,358900,362300,366100,370100,374500,379100,384000,389300,394800,400700,406800,412700,418000,422800,427300,431400,435300,439200,443200,447200,451200,455300,459400,463800,468500,473800,479800,486200,492800,499500,505900,512300,518600,524600,530800,537200,543400,549300,554900,560200,565200,569900,574100,578000,581300,583800,586100,588200,589900,590800,591100,590600,589400,587600,585400,583300,581800,580500,579700,579200,578300,576700,574700,572700,571000,569500,567900,566200,564400,562000,559500,556800,553400,549200,545000,540900,536900,533200,529400,525900,522500,519000,515900,513100,509600,505600,502200,500100,498900,498500,498700,498900,499200,500500,499300,495100,492300,492800,492800,491300,488300,486100,484500,483100,481500,480200,479200,479200,479600,479500,478900,478600,478900,478700,477700,476000,474300,472400,471700,471800,472200,472500,472800,472700,472900,473100,473400,473900,474800,476100,477900,479500,481100,483000,485400,487700,489600,491700,494400,497300,499900,501700,503300,505600,508200,510500,513100,516500,519100,521100,522900,524600,526100,527900,529700,531900,533900,535700,537800,541300,545500,548700,550400,552200,554600,557100,559600,562500,564600,566400,568200,570500,572400,574400,577000,580700,583800,585900,588000,590800,594400,598500,602500,605900,609100,611300,612500,613700,617300,622100,626300,629800,633000,634900,635800,636000,636500,638700,642000,644200
14,Florida,4,156700,156800,156800,157000,157300,157600,158000,158400,158900,159300,159700,159900,160100,160200,160400,160700,161100,161500,162100,162900,163800,164800,165600,166000,166300,166600,166800,167200,167700,168400,169200,170000,170800,171700,172500,173200,174000,175000,176000,177000,178000,179100,180200,181500,182900,184300,185700,187000,188300,189600,191000,192400,193900,195500,197200,199000,201100,203400,206000,208800,211900,215200,218600,222100,225500,228700,231700,234600,237100,239400,241400,243000,244300,245500,246500,247500,248600,249800,251200,253000,255000,257400,260000,262800,265600,268400,271200,273900,276800,279700,282800,286000,289400,292900,296600,300600,305000,309800,315200,321300,327800,334600,341600,348700,356200,363900,371700,380000,389000,398200,407500,416500,424900,432400,439000,444800,450200,455100,459400,463700,467900,471200,473400,474400,474000,472800,471100,468700,466200,463600,460500,457000,453300,449100,444200,438700,432700,426600,420400,413900,407200,400300,393000,385500,378400,371500,364700,358300,352400,346800,341300,335900,330800,325800,320600,315100,309700,304000,298800,295100,292900,291300,290100,289500,288300,287700,288400,287700,285000,282900,281600,279400,276900,274500,272300,270300,268400,266400,264600,263800,263800,263700,263500,263300,262800,262600,262500,262600,262900,263300,263600,264300,265200,266100,266700,267400,268300,269200,269900,271000,272700,274400,275900,277900,280500,283300,286200,289000,291900,294500,297100,299800,302100,303900,306000,308500,311000,313200,315500,318000,320300,322000,323300,324600,326200,327700,329300,331300,333700,336200,338300,340400,342400,344500,346500,348700,350600,352500,354100,355900,358000,360300,362300,364100,365900,368300,371000,373700,376200,378000,379400,380300,381400,382600,383700,384700,385900,387000,388100,388600,389100,391500,395000,397700,399400,401000,402600,403700,404600,405500,406600,408000,409400
21,Illinois,5,195700,196800,197500,197800,197600,197100,196100,194800,193700,192900,192000,190800,189800,188900,187900,186600,185200,184000,183400,183700,185300,187600,190000,192200,194600,197000,199500,202200,205100,207900,210500,212600,214400,215800,216600,216800,217000,217400,218000,218900,220100,221500,223100,224900,227000,229500,231700,233700,235800,238000,240100,242200,244300,246400,248400,250200,252100,253700,255100,256300,257600,258800,260100,261600,263100,264800,266500,268300,269900,271700,273400,275200,276900,278600,280200,281700,283200,284700,286200,287700,289200,290700,292200,293800,295300,296900,298500,300100,301700,303400,305200,307000,309000,311200,313400,315600,317800,320200,322600,325200,327700,330200,332600,334900,337400,339900,342300,344900,347600,350300,353100,355900,358800,361600,364300,366700,368900,370800,372500,374200,375900,377200,378100,378900,379400,379700,380000,380000,380000,380000,379700,379200,378600,377500,376100,374600,373000,371700,370500,369000,367200,365100,362400,359800,357400,354700,351700,348400,344900,341700,338900,336100,333300,330800,328000,325000,321500,317500,313500,310600,308700,307700,307100,306900,306300,306300,307500,306800,304100,302600,301700,299600,297000,293900,290600,288000,285700,283900,282600,281500,280300,278600,276900,275900,275200,274300,273000,271800,271000,269400,267000,265400,265700,266900,268100,268900,269500,270000,270400,271100,271800,272500,273300,275200,277300,279500,282300,285400,288000,290200,291700,292600,293400,294300,294800,295600,296800,298200,299700,301400,302700,303400,303900,304400,304700,304900,305100,305900,307000,307700,308300,308700,309200,310200,311500,312200,312700,313100,313800,314900,316100,317200,318000,318700,319400,320100,321100,322400,323300,323700,324500,325500,326500,327000,327200,327300,327600,328000,329200,330800,331800,333400,335500,337100,337800,338500,338200,337300,337100,337400,337500,337700,338500
47,Pennsylvania,6,147700,147300,147000,146800,146700,146800,147100,147500,148000,148600,149100,149500,149900,150200,150500,150800,151100,151400,151700,151800,151700,151600,151400,151200,151200,151300,151500,151900,152400,152900,153600,154400,155200,156100,156900,157800,158600,159500,160300,161000,161700,162200,162800,163400,164100,164900,165700,166500,167500,168500,169500,170500,171500,172400,173500,174700,176000,177300,178700,180100,181200,182100,183000,183800,184600,185600,186600,187800,189100,190500,192000,193500,195000,196600,198200,200000,201800,203900,206100,208300,210500,212400,214200,216000,218000,220200,222500,225000,227400,229700,232000,234100,236200,238300,240600,242900,245300,247800,250300,252900,255300,257700,260100,262500,264900,267400,269800,272200,274600,277100,279500,282000,284400,286700,288800,290800,292500,294100,295600,297000,298400,299600,300800,301800,302700,303300,303700,303900,304100,304300,304400,304600,304800,304800,304600,304300,304000,303500,302900,302100,301200,300300,299300,298300,297200,295900,294600,293500,292500,291500,290600,289800,289100,288500,287900,287200,286400,285300,283900,282800,281900,281200,280700,280400,280300,280500,280800,280500,279900,279700,279600,278700,277300,276200,275200,273900,272800,271700,270600,269500,268600,267800,267200,266500,265700,264900,264200,264000,263800,263300,262800,262800,262800,262600,262400,262400,262500,263100,263700,264300,264700,265200,265700,266200,267000,267700,268500,269400,270200,270700,271300,271900,272500,273100,273500,273800,274600,275400,276000,276500,277100,277700,278200,278700,279200,279300,279400,279700,280200,280700,281300,282300,283200,283700,284100,284400,284600,285400,286400,287300,287700,288200,289200,290400,291800,292800,293500,294100,295300,296400,297100,298100,299500,300800,302000,303600,305100,306500,307600,308400,309000,310100,311700,313400,314800,316000,316900,317400,317900,318500,319300,320300,321100
44,Ohio,7,140300,140700,141200,141800,142400,143000,143600,144200,144600,145000,145300,145600,146000,146500,147100,147800,148500,149300,150000,150600,151200,151800,152200,152600,152900,153400,153900,154500,155300,156100,156800,157400,157900,158200,158400,158700,159000,159400,159900,160600,161200,161900,162600,163400,164300,165200,166200,167000,167900,168500,169100,169700,170200,170600,171200,171900,172600,173400,174300,175100,175800,176400,176800,177200,177500,177800,178100,178400,178900,179500,180100,180800,181600,182300,183000,183700,184400,185000,185700,186500,187200,187900,188500,189000,189500,190000,190600,191300,192000,192800,193700,194500,195200,195900,196500,197200,197800,198500,199200,199900,200500,201100,201800,202500,203200,203800,204300,204800,205300,206000,206700,207500,208200,208800,209300,209800,210200,210500,210700,211000,211400,211600,211700,211800,211700,211600,211500,211300,211200,211100,211000,210900,210600,210200,209600,209000,208400,207700,206900,206000,205200,204500,203700,202900,202200,201300,200500,199600,198700,197900,197200,196600,196000,195600,195200,194800,194400,193700,193000,192400,192000,191800,191700,191700,191600,191700,192000,191800,191400,191700,192100,191700,191200,190900,190300,189600,188900,187900,186900,186100,185400,184700,183900,183600,183800,183900,183800,184000,184300,184600,185100,185600,186200,186600,186900,187200,187200,187200,187400,187700,188300,188900,189500,190200,190900,191400,192300,193500,194600,195300,195900,196800,197700,198500,199200,200000,200700,201600,202700,203600,204400,205100,205800,206300,207000,207500,208000,208800,209900,210900,211900,212900,214000,215100,216000,216400,216600,217300,218300,218900,219500,220500,221600,222400,223100,223900,224900,225700,226500,227400,228600,230200,232000,233400,234400,235200,236200,236900,238000,239300,240700,242000,243000,243800,244900,246100,247100,248100,249300,250700,252200,253700,254900
30,Michigan,8,145000,145800,146600,147400,148200,149100,150000,150900,152000,153100,154100,155000,155900,156800,157700,158600,159500,160300,161000,161700,162300,163000,163700,164400,165200,166000,167000,168100,169300,170300,171400,172300,173100,174000,174700,175400,176100,176900,177800,178800,179700,180800,181900,183100,184500,185900,187200,188400,189600,190700,191900,193200,194400,195500,196600,197500,198300,199100,199600,199900,200300,200600,201000,201500,202100,202800,203500,204400,205400,206600,207800,209200,210500,211700,212700,213600,214300,214900,215500,216100,216500,217000,217400,217800,218400,218900,219500,220100,220700,221500,222300,223100,223900,224700,225500,226400,227400,228400,229500,230600,231600,232500,233500,234400,235400,236500,237400,238300,239100,239800,240400,240900,241200,241400,241500,241700,241900,242000,241900,241900,241700,241400,240800,240000,239200,238300,237300,236200,235100,234000,232700,231600,230400,229200,227800,226300,224700,223000,221100,219200,217300,215300,213200,211200,209100,206800,204400,202100,200000,197900,195900,193900,192000,190200,188300,186600,184900,182900,180800,179000,177600,176500,175500,175000,174600,174500,174800,174800,174100,173500,173400,173400,173100,172600,172000,171300,170600,169900,169100,168500,168200,168000,167900,167900,168100,168400,168700,169200,169600,170000,170500,171100,171900,173200,174600,175700,176800,178300,180300,182100,183800,185600,187300,188900,190700,192600,194600,196600,198600,200600,202500,204200,205700,207100,208200,209400,210900,212700,214300,215800,217300,218500,219400,220300,221300,222500,223900,225400,226500,227300,228200,229200,230300,231400,232400,233500,234600,235700,236900,238500,240000,241500,243000,244700,246100,247000,248000,249300,251000,252600,254200,256300,258800,260900,262300,263100,264300,265600,266600,267800,268900,269700,270800,271900,273000,274700,276800,278600,280000,280800,281700,282900,283900
16,Georgia,9,158700,159400,160000,160700,161300,161900,162500,163000,163600,164200,164800,165300,165900,166600,167300,168100,168900,169600,170500,171300,172100,173000,173900,174700,175500,176300,177200,178200,179400,180600,181900,183300,184700,186300,187700,189000,190200,191500,192900,194300,195700,197000,198400,199800,201300,202900,204400,205900,207400,208900,210500,212100,213800,215300,216900,218400,219800,221200,222400,223500,224600,225600,226600,227400,228200,229100,230000,231000,232100,233100,234100,235000,235900,236600,237200,237700,238200,238800,239500,240400,241400,242500,243300,243900,244400,244900,245400,245900,246600,247300,248100,248900,249800,250800,252000,253300,254700,256200,257800,259300,260900,262400,263700,264700,265500,266300,267300,268600,270200,272000,273900,275900,277800,279800,281700,283600,285500,287300,288800,290400,292100,293700,295300,297000,298600,300100,301500,302700,303900,304900,305700,306600,307500,307900,308000,307900,307800,307500,307200,306500,305800,304900,303500,302200,300900,299100,296800,294300,291800,289500,287400,285300,283400,281700,279700,277700,275600,273000,270200,268000,266300,265000,263900,263100,262000,261500,262300,261500,258700,257200,256900,255800,254500,252800,250800,248700,246800,244800,242400,240100,238500,237300,236200,235000,233400,231600,230200,229100,228200,227500,227000,227000,227200,227600,228200,229100,230400,232000,233400,234900,236200,237400,238600,240300,242300,244200,245700,247400,249200,250900,252500,254400,256200,257800,259200,261200,263500,265500,267100,268700,270200,271400,272400,273600,274800,275600,276300,277400,279200,280900,282400,283700,284900,285500,286000,286600,287700,288900,290600,292700,294900,297000,299500,302000,304200,306400,308400,310000,311800,313900,315800,317600,319500,320700,321400,322000,323200,324900,326500,328000,329900,332900,336100,338400,340000,341700,343200,344100,344800,346300,349400,352500,354400
36,North Carolina,10,165600,165300,164900,164500,164100,163900,164100,164700,166000,167800,169800,171600,173100,174100,174700,174700,174400,173600,172300,170600,168300,165700,163400,161600,160700,160700,161600,163000,164700,166500,168200,169800,171000,172000,172800,173800,174900,176300,177700,179000,180200,181100,182100,183000,183800,184700,185400,186000,186500,187100,187800,188800,190000,191200,192400,193500,194400,195300,196000,196500,196800,197100,197400,197600,198000,198600,199200,199900,200600,201400,202300,203000,203500,204000,204400,204800,205400,206000,206800,207900,209100,209900,210700,211600,212600,213800,215200,216700,218400,220000,221600,223100,224500,225900,227200,228500,229900,231200,232600,233900,235300,236600,237900,239000,240000,241000,242300,244000,246300,248900,251700,254600,257400,260100,262700,265400,268100,270900,273400,275900,278400,280600,282600,284600,286500,288300,289900,291400,293100,294800,296200,297600,298900,299800,300400,300900,301300,301600,301700,301800,301800,301900,301700,301400,301100,300400,299100,297700,296200,294700,293300,292000,291000,290300,289600,288900,288100,286800,285100,283200,281500,280000,278700,277700,276700,276400,277000,276600,274400,272900,272600,272000,271100,269900,268800,267700,266500,264800,262900,261400,260500,259600,258600,257800,257400,257300,257200,257300,257400,257500,257700,258000,258200,258400,259000,259600,259400,258900,259100,259700,260200,260500,260500,261000,262300,263600,264700,265700,266700,267700,268400,269000,269800,270700,271400,271900,272600,273400,274100,274700,275500,276300,276800,277400,278200,279200,280300,281500,282400,283100,284000,285000,286000,287000,287800,288300,289100,290100,291200,292600,294300,295900,297200,298600,300300,302000,303700,305000,306200,307100,308300,310000,311900,313500,314500,315500,316300,316800,317500,318400,319600,321500,324000,326200,327500,328600,329700,331000,332400,334300,336400,338500,340000
